family_id,capability_family,disposition,rationale
1,"Operating style, authority, governance, and decision discipline",adapt,"Adapt only the doctrine already represented in the pinned public repositories and the public review contracts; do not copy private-estate files."
2,"Canonical vault, sandbox, promotion, belief revision, graph health, and Git",merge,"Merge the pinned public starter, powerpack, super-repo, and economy mechanisms into the Release 1.0 base vault and trigger-loaded vault operations."
3,"Research, clipping, source preservation, patterns, timeline, and retrieval",merge,"Merge the pinned public powerpack and context-pack mechanisms into Research; keep bulk corpus payloads deferred under the corpus contract."
4,"Self-learning, skill lifecycle, curator, memory routing, and doctrine updates",adapt,"Adapt only public economy and source-repository mechanisms into routed skills; private implementation details remain outside the distribution."
5,"Hermes ops, health, gateway, reporting, mobile, token efficiency, and maintenance",adapt,"Adapt the public agent-ops, health, reporting, and efficiency subset; defer gateway, mobile, and automation recipes to demand-gated releases."
6,"Tools, MCP, plugins, secret/env setup, and integration verification",external-pointer,"The detailed estate is private and version-sensitive; Release 1.0 points to upstream Hermes documentation rather than copying recipes or secret-bearing setup."
7,"Delegation, task packets, workers, kanban, coding agents, and acceptance",adapt,"Adapt public task-packet and verification patterns into Agent Ops while excluding private worker topology and live state."
8,"Software planning, TDD, debugging, build, review, Git, and handoffs",external-pointer,"Most specialized content is in the private estate; use routed external pointers until a public-source, license, and demand review supports adaptation."
9,"Local LLM and local/cloud/hybrid deployment patterns",defer,"Deployment content is hardware- and topology-sensitive and has no Release 1.0 consumer evidence."
10,"Research-only markets, diligence, falsification, prediction, and calibration",adapt,"Adapt public research and calibration mechanisms behind research-only boundaries; the market pack remains inert pending explicit demand and liability review."
11,"Documents, spreadsheets, presentations, media, browser/computer use, and creative workflows",external-pointer,"The broad tool estate is private or maintained by upstream integrations; external pointers avoid stale vendoring and licensing risk."
12,"Fable-produced audit, calibration, and operating improvements",defer,"Public review dispositions are incorporated as contracts, but private Fable-produced payloads are not copied and require later source and sanitization review."
