scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,3,True,0,False,"[""needs-human"", ""needs-human"", ""needs-human""]","[""needs-human"", ""needs-human"", ""needs-human""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
02-stale-output-over-budget-queue,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""act"", ""act"", ""act""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
03-seductive-cross-domain-analogy,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,1,3,False,0,False,"[""kill"", ""kill"", ""no-action""]","[""no-action"", ""no-action"", ""no-action""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
04-worker-completion-claim,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""blocked"", ""blocked"", ""blocked""]","[""no-action"", ""needs-human"", ""no-action""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
05-duplicate-scheduler-topology,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,3,True,0,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
06-full-catalog-startup,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,1,0,False,3,False,"[""done"", ""done"", ""blocked""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
07-existing-config-conflict,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,2,0,False,3,False,"[""needs-human"", ""done"", ""needs-human""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
08-contradictory-source-belief-revision,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""act"", ""act"", ""act""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
09-costly-live-state-check,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,0,0,False,3,False,"[""act"", ""done"", ""no-action""]","[""act"", ""act"", ""act""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
10-admission-test-turned-inward,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, one invalid unmounted-fixture trial re-administered, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,2,0,False,3,False,"[""kill"", ""done"", ""kill""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.1 on 2026-07-10 (instruction to build the 1.1 capability set and push it as an update), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (5/16 confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 8/16); the repository claims no measured behavioral improvement on this model; scenarios 01 and 05 pass 3/3 in both arms and are baseline behavior on this model, queued for redesign or removal from the surviving suite; one unmounted-fixture treatment trial (12/t2) was re-administered and scenario 12's write assertion was widened arm-neutrally to accept the distribution's own .incoming proposal convention, matching scenario 11's existing pattern."
