source_repo,source_commit,source_path,license,attribution,private_risk,sanitization_reviewed_by,disposition,new_path,rationale
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,README.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:README.md,reviewed-public-source,not-required,supersede,,"The new distribution owns its repository metadata, release boundary, and verification contract; this predecessor scaffold is not vendored."
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,discord/discord-bot-setup.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:discord/discord-bot-setup.md,reviewed-public-source,not-required,external-pointer,,Setup is provider- or version-sensitive and remains an upstream/pinned-source pointer rather than a stale shipped recipe.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,github/github-vault-setup.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:github/github-vault-setup.md,reviewed-public-source,not-required,supersede,,The bounded distribution architecture replaces this repository-specific artifact without copying it into the skill catalog.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/skills/discord-second-brain/SKILL.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/skills/discord-second-brain/SKILL.md,reviewed-public-source,not-required,external-pointer,,Setup is provider- or version-sensitive and remains an upstream/pinned-source pointer rather than a stale shipped recipe.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/skills/git-backed-vault/SKILL.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/skills/git-backed-vault/SKILL.md,reviewed-public-source,operator-w3rd:2026-07-10,merge,skills/core/vault-operations/SKILL.md,Merged this overlapping public mechanism into skills/core/vault-operations/SKILL.md so its doctrine ships once behind one route.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/skills/obsidian-operating-system/SKILL.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/skills/obsidian-operating-system/SKILL.md,reviewed-public-source,operator-w3rd:2026-07-10,merge,skills/core/vault-operations/SKILL.md,Merged this overlapping public mechanism into skills/core/vault-operations/SKILL.md so its doctrine ships once behind one route.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/skills/second-brain-os/SKILL.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/skills/second-brain-os/SKILL.md,reviewed-public-source,operator-w3rd:2026-07-10,merge,skills/core/vault-operations/SKILL.md,Merged this overlapping public mechanism into skills/core/vault-operations/SKILL.md so its doctrine ships once behind one route.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/starter-config.example.yaml,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/starter-config.example.yaml,reviewed-public-source,not-required,external-pointer,,Setup is provider- or version-sensitive and remains an upstream/pinned-source pointer rather than a stale shipped recipe.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,hermes/starter-env.example,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:hermes/starter-env.example,reviewed-public-source,not-required,external-pointer,,Setup is provider- or version-sensitive and remains an upstream/pinned-source pointer rather than a stale shipped recipe.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,install.md,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:install.md,reviewed-public-source,not-required,supersede,,The bounded distribution architecture replaces this repository-specific artifact without copying it into the skill catalog.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,scripts/bootstrap-macos.sh,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:scripts/bootstrap-macos.sh,reviewed-public-source,not-required,external-pointer,,The standalone helper has no proved Release 1.0 consumer or gate and remains available at the pinned source coordinate.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,scripts/init-vault-git.sh,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:scripts/init-vault-git.sh,reviewed-public-source,not-required,external-pointer,,The standalone helper has no proved Release 1.0 consumer or gate and remains available at the pinned source coordinate.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,scripts/verify-install.sh,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:scripts/verify-install.sh,reviewed-public-source,not-required,supersede,,The new distribution's bounded verifier or later ownership-safe installer supersedes this repository-specific script.
second-brain-os-starter,9a2508ae0bab1e50da70f6b757aab9ba8d9c7208,vault-template/.gitignore,operator-owned,second-brain-os-starter@9a2508ae0bab1e50da70f6b757aab9ba8d9c7208:vault-template/.gitignore,reviewed-public-source,operator-w3rd:2026-07-10,merge,vault-template/,Accepted as source material for the bounded Release 1.0 artifact at vault-template/; it will be consolidated rather than copied.
