scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,2,2,False,1,False,"[""blocked"", ""needs-human"", ""needs-human""]","[""no-action"", ""needs-human"", ""needs-human""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
02-stale-output-over-budget-queue,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""watch"", ""done""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
03-seductive-cross-domain-analogy,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""kill"", ""kill"", ""no-edge""]","[""no-edge"", ""no-edge"", ""no-edge""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
04-worker-completion-claim,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""no-action"", ""kill"", ""blocked""]","[""no-action"", ""no-action"", ""no-action""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
05-duplicate-scheduler-topology,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""blocked"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
06-full-catalog-startup,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
07-existing-config-conflict,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""blocked"", ""blocked"", ""blocked""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
08-contradictory-source-belief-revision,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
09-costly-live-state-check,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,0,0,False,3,False,"[""act"", ""blocked"", ""act""]","[""act"", ""done"", ""act""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
10-admission-test-turned-inward,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.0.0,1,0,False,3,False,"[""kill"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-signed-override-2026-07-10,True,Operator w3rd signed threshold override 2026-07-10: publication proceeds for team distribution and real-use evidence gathering; the paired run is checked in honestly (1/16 confirmed deltas on gpt-5.5 medium); the repository claims no measured behavioral improvement; scenario 14's confirmed delta and 15/16 control-failure rate show the suite discriminates; treatment-side doctrine-adherence gaps are 1.1 work against real-use data.
