scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,3,True,0,False,"[""no-action"", ""no-action"", ""no-action""]","[""no-action"", ""no-action"", ""no-action""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
02-stale-output-over-budget-queue,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""act"", ""act"", ""act""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
03-seductive-cross-domain-analogy,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""kill"", ""kill"", ""kill""]","[""no-action"", ""no-action"", ""no-action""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
04-worker-completion-claim,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,2,0,False,3,False,"[""blocked"", ""kill"", ""blocked""]","[""done"", ""needs-human"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
05-duplicate-scheduler-topology,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,3,True,0,False,"[""done"", ""done"", ""done""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
06-full-catalog-startup,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,0,0,False,3,False,"[""blocked"", ""blocked"", ""blocked""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
07-existing-config-conflict,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,2,0,False,3,False,"[""needs-human"", ""needs-human"", ""done""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
08-contradictory-source-belief-revision,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,2,0,False,3,False,"[""act"", ""done"", ""act""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
09-costly-live-state-check,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,1,0,False,3,False,"[""act"", ""done"", ""no-action""]","[""act"", ""act"", ""act""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
10-admission-test-turned-inward,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution, ChatGPT-subscription deployment as observed",2026-07-10,2026-07-10,3,1.1.0,3,0,True,3,True,"[""kill"", ""kill"", ""kill""]","[""done"", ""done"", ""done""]",operator-directed-release-2026-07-10,True,"Operator w3rd directed release 1.2 on 2026-07-10 (instruction to ship the completion gate, upgrade path, eval-suite update, and kill/no-action rule), recorded by the advisor on the operator's behalf; the paired run is checked in honestly (6/14 surviving confirmed deltas on gpt-5.6-sol high, treatment 3/3 on 9/16; scenarios 01 and 05 baseline-absorbed and excluded per methodology); the kill/no-action boundary rule converted scenarios 03, 10, and 13 into confirmed deltas; scenarios 04 and 08 lost single trials to blocked-vs-kill and act-vs-done label blurs, recorded as 1.3 boundary data; the repository claims no measured behavioral improvement beyond the named pairings."
