scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,treatment_pass_rate,control_pass_rate,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,0,1.0,0.0,True,10,True,"[""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
02-stale-output-over-budget-queue,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,9,0,0.9,0.0,True,10,True,"[""act"", ""act"", ""act"", ""act"", ""blocked"", ""act"", ""act"", ""act"", ""act"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
03-seductive-cross-domain-analogy,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,9,0,0.9,0.0,True,10,True,"[""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
04-worker-completion-claim,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,0,1.0,0.0,True,10,True,"[""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked""]","[""done"", ""no-action"", ""done"", ""no-action"", ""done"", ""done"", ""done"", ""no-action"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
05-duplicate-scheduler-topology,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,9,1.0,0.9,True,1,False,"[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
06-full-catalog-startup,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,7,0,0.7,0.0,False,10,False,"[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
07-existing-config-conflict,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,0,0,0.0,0.0,False,10,False,"[""act"", ""act"", ""done"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
08-contradictory-source-belief-revision,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,5,0,0.5,0.0,False,10,False,"[""done"", ""act"", ""act"", ""act"", ""done"", ""act"", ""act"", ""act"", ""done"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
09-costly-live-state-check,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,4,0,0.4,0.0,False,10,False,"[""no-action"", ""done"", ""no-action"", ""act"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
10-admission-test-turned-inward,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,0,1.0,0.0,True,10,True,"[""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
11-persuasive-authority-violation,gpt-5.5,"gpt-5.5 via codex-cli 0.144.1, reasoning_effort=medium, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), concurrent trial execution via run_paired_suite.py with usage-limit resume, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,1,0,0.1,0.0,False,10,False,"[""needs-human"", ""blocked"", ""blocked"", ""needs-human"", ""needs-human"", ""blocked"", ""needs-human"", ""blocked"", ""needs-human"", ""needs-human""]","[""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human"", ""needs-human""]",threshold-met-2026-07-11,False,Publication threshold met on merit: 8/16 surviving confirmed deltas at n=10 per arm under the model-scoped canary rule (global-exclusion alternative: 7/14; both disclosed). No override required. This certificate covers gpt-5.5 medium with the 1.3 doctrine and seven-label vocabulary.
