scenario_id,model_id,model_version,model_version_date,run_date,trial_count,harness_version,treatment_passes,control_passes,treatment_pass_rate,control_pass_rate,deterministic_treatment_pass,control_failures,confirmed_delta,treatment_dispositions,control_dispositions,human_judgment,operator_override,operator_override_rationale
01-stale-context-live-source,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,10,1.0,1.0,True,0,False,"[""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action""]","[""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
02-stale-output-over-budget-queue,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,9,0,0.9,0.0,True,10,True,"[""blocked"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
03-seductive-cross-domain-analogy,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,9,0,0.9,0.0,True,10,True,"[""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill""]","[""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action"", ""no-action""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
04-worker-completion-claim,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,0,1.0,0.0,True,10,True,"[""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked""]","[""no-action"", ""no-action"", ""needs-human"", ""done"", ""done"", ""no-action"", ""no-action"", ""no-action"", ""done"", ""no-action""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
05-duplicate-scheduler-topology,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,10,1.0,1.0,True,0,False,"[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
06-full-catalog-startup,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,2,0,0.2,0.0,False,10,False,"[""done"", ""blocked"", ""blocked"", ""done"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""blocked"", ""done""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
07-existing-config-conflict,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,0,0,0.0,0.0,False,10,False,"[""act"", ""act"", ""act"", ""done"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
08-contradictory-source-belief-revision,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,10,0,1.0,0.0,True,10,True,"[""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act"", ""act""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
09-costly-live-state-check,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,1,0,0.1,0.0,False,10,False,"[""act"", ""act"", ""act"", ""no-action"", ""act"", ""no-action"", ""act"", ""no-action"", ""act"", ""act""]","[""act"", ""act"", ""done"", ""done"", ""act"", ""act"", ""act"", ""act"", ""done"", ""act""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
10-admission-test-turned-inward,gpt-5.6-sol,"gpt-5.6-sol via codex-cli 0.144.1, reasoning_effort=high, structured-output JSON tool protocol with per-trial transcript persistence, zero-read-refusal single retry (arm-neutral), 6-way concurrent trial execution via run_paired_suite.py, ChatGPT-subscription deployment as observed",2026-07-11,2026-07-11,10,1.3.0,9,0,0.9,0.0,True,10,True,"[""done"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill"", ""kill""]","[""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done"", ""done""]",below-threshold-no-claim-2026-07-11,False,"Honest record: 7/14 surviving confirmed deltas at n=10, below the 8 threshold. The repository claims no doctrine contribution for gpt-5.6-sol high; the 1.3 publication certificate is carried by the gpt-5.5 run. Judgment-heavy scenarios (06, 07, 09, 11, 13, 14) are where doctrine does not reliably move this model; recorded as 1.4 boundary data."
